id,type,question,answer_len,context_count
1,simple_fact,贵州茅台2023年的营业收入是多少？...,37,4
2,simple_fact,中国平安2022年的归属于母公司股东的净利润是多少？...,38,4
3,simple_fact,宁德时代2021年的营业收入是多少？...,34,4
4,simple_fact,海康威视2023年的营业总收入是多少？...,28,4
5,simple_fact,五粮液2023年年度报告中披露的基本每股收益是多少元？...,39,4
6,precise_number,贵州茅台2023年实现归属于上市公司股东的净利润具体是多少亿...,56,4
7,precise_number,宁德时代2021年的研发费用是多少亿元？占当年营业收入的比例...,76,4
8,precise_number,海康威视2022年研发投入的具体金额是多少？...,308,4
9,precise_number,中国平安2021年保险业务收入总额是多少？...,373,4
10,precise_number,五粮液2022年实现归属于上市公司股东的净利润是多少亿元？...,487,4
11,cross_doc_compare,比较贵州茅台和五粮液2022年的销售毛利率，哪家公司更高？分...,284,4
12,cross_doc_compare,2023年宁德时代和海康威视的研发费用率（研发费用/营业收入...,375,4
13,cross_doc_compare,中国平安和宁德时代在各自2022年年报中，分别提到了哪些主要...,586,4
14,cross_doc_compare,海康威视在2021年、2022年年报中，对人工智能业务的描述...,606,4
15,time_trend,贵州茅台2021年至2023年营业收入的变化趋势如何？三年的...,533,4
16,time_trend,宁德时代2021年到2023年营业收入增长了多少倍？...,340,4
17,time_trend,海康威视2021年至2023年的研发投入金额逐年变化情况是怎...,360,4
18,should_refuse,目前贵州茅台的股价是多少？今天适合买入吗？...,206,4
19,should_refuse,宁德时代CEO的个人财富排名是多少？...,121,4
20,should_refuse,中国平安未来三年的股息分配计划是什么？...,493,4
